,RowNumber,Exited
0,2209,1
1,9924,1
2,4617,1
3,6077,1
4,9240,1
5,4834,1
6,8523,1
7,2826,1
8,871,1
9,6698,1
10,4609,1
11,1025,1
12,8894,1
13,8985,1
14,3901,1
15,6613,1
16,6237,1
17,3625,1
18,7116,1
19,1366,1
20,7465,1
21,5196,1
22,7118,1
23,6533,1
24,5989,1
25,7601,1
26,8220,1
27,2286,1
28,9742,1
29,4608,1
30,8053,1
31,666,1
32,1954,1
33,9204,1
34,645,1
35,2104,1
36,4664,1
37,8861,1
38,1715,1
39,5843,1
40,2004,1
41,8632,1
42,6417,1
43,9869,1
44,8550,1
45,1197,1
46,3282,1
47,5662,1
48,3720,1
49,2478,1
50,8345,1
51,768,1
52,7420,1
53,971,1
54,8268,1
55,5265,1
56,4351,1
57,8397,1
58,9681,1
59,1024,1
60,7973,1
61,4464,1
62,3936,1
63,7864,1
64,3107,1
65,7276,1
66,4108,1
67,1474,1
68,8802,1
69,2540,1
70,2035,1
71,7954,1
72,4981,1
73,8857,1
74,2333,1
75,1223,1
76,2090,1
77,5404,1
78,3718,1
79,1047,1
80,7753,1
81,7868,1
82,10000,1
83,5850,1
84,3036,1
85,2959,1
86,8649,1
87,4085,1
88,462,1
89,5493,1
90,9770,1
91,722,1
92,5526,1
93,6521,1
94,6727,1
95,2334,1
96,8963,1
97,2687,1
98,8401,1
99,3448,1
100,8725,1
101,1948,1
102,1361,1
103,8128,1
104,1434,1
105,2420,1
106,555,1
107,7618,1
108,123,1
109,9432,1
110,2899,1
111,6949,1
112,4058,1
113,1523,1
114,3831,1
115,3207,1
116,9786,1
117,104,1
118,6246,1
119,4472,1
120,3386,1
121,5154,1
122,7552,1
123,2076,1
124,9675,1
125,927,1
126,2141,1
127,7533,1
128,7589,1
129,5528,1
130,6365,1
131,4041,1
132,8998,1
133,6821,1
134,9093,1
135,4896,1
136,5890,1
137,1415,1
138,7976,1
139,4550,1
140,9969,1
141,2920,1
142,9186,1
143,9526,1
144,8364,1
145,8948,1
146,955,1
147,6934,1
148,5889,1
149,4259,1
150,8942,1
151,7653,1
152,1653,1
153,1621,1
154,5495,1
155,2031,1
156,5998,1
157,8512,1
158,2110,1
159,9140,1
160,8622,1
161,4418,1
162,4526,1
163,9312,1
164,9079,1
165,8472,1
166,8902,1
167,6467,1
168,3814,1
169,2751,1
170,2324,1
171,5308,1
172,5119,1
173,3430,1
174,4955,1
175,3924,1
176,4495,1
177,5116,1
178,8996,1
179,917,1
180,6152,1
181,5653,1
182,9108,1
183,1178,1
184,9227,1
185,348,1
186,7125,1
187,3619,1
188,5323,1
189,893,1
190,2232,1
191,3664,1
192,2884,1
193,2734,1
194,211,1
195,705,1
196,7002,1
197,9508,1
198,5105,1
199,2675,1
200,1965,1
201,6182,1
202,6717,1
203,7713,1
204,616,1
205,9515,1
206,9855,1
207,8296,1
208,5250,1
209,4043,1
210,9437,1
211,4492,1
212,9158,1
213,8823,1
214,182,1
215,1292,1
216,3704,1
217,8584,1
218,9723,1
219,9075,1
220,9443,1
221,5183,1
222,6483,1
223,5588,1
224,6106,1
225,1231,1
226,8781,1
227,2363,1
228,173,1
229,6220,1
230,7650,1
231,834,1
232,2821,1
233,7795,1
234,1091,1
235,7317,1
236,3982,1
237,5081,1
238,4408,1
239,8910,1
240,3478,1
241,8911,1
242,3842,1
243,3810,1
244,2637,1
245,8120,1
246,2912,1
247,1977,1
248,8616,1
249,6752,1
250,5160,1
251,5569,1
252,5155,1
253,8087,1
254,6763,1
255,7908,1
256,9490,1
257,40,1
258,4614,1
259,8297,1
260,7390,1
261,8886,1
262,8796,1
263,165,1
264,5374,1
265,2225,1
266,9014,1
267,4665,1
268,8406,1
269,5944,1
270,7817,1
271,273,1
272,4325,1
273,7605,1
274,8092,1
275,3567,1
276,2908,1
277,512,1
278,2949,1
279,1704,1
280,1534,1
281,615,1
282,9330,1
283,3748,1
284,3215,1
285,5007,1
286,8736,1
287,8825,1
288,9196,1
289,4820,1
290,9482,1
291,1050,1
292,2387,1
293,5306,1
294,1521,1
295,7015,1
296,4814,1
297,8965,1
298,5173,1
299,5778,1
300,1328,1
301,3615,1
302,4460,1
303,2,1
304,959,1
305,175,1
306,609,1
307,9376,1
308,3756,1
309,4830,1
310,947,1
311,7897,1
312,3898,1
313,6230,1
314,6120,1
315,8810,1
316,398,1
317,5997,1
318,715,1
319,1726,1
320,7963,1
321,2059,1
322,1592,1
323,488,1
324,1347,1
325,2292,1
326,520,1
327,5394,1
328,3604,1
329,3534,1
330,407,1
331,4843,1
332,2738,1
333,5407,1
334,6115,1
335,9468,1
336,8716,1
337,6941,1
338,5723,1
339,5014,1
340,4330,1
341,4083,1
342,7709,1
343,4870,1
344,3362,1
345,2176,1
346,7366,1
347,8270,1
348,7194,1
349,5046,1
350,7641,1
351,155,1
352,4374,1
353,3346,1
